"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"321","20","532",12,9.8,1.77,0.1475
"322","20","536",10,21.9,0.35,0.035
"323","20","540",21,42.25,40.25,1.91666666666667
"324","20","547",36,48.255,20.8522,0.579227777777778
"325","20","548",92,197.9772,51.0024,0.554373913043478
"326","20","552",19,25.25,4.5,0.236842105263158
"327","20","556",20,19.345,9.7935,0.489675
"328","20","560",25,23.52,7.257,0.29028
"329","20","562",19,14.48,5.64,0.296842105263158
"330","20","569",5,5,2.4647,0.49294
"331","21","004",8,41.095,73.7,9.2125
"332","21","010",76,39.48,15.395,0.202565789473684
"333","21","012",3,7,1.5,0.5
"334","21","018",10,9.83,4,0.4
"335","21","022",10,8.1504,3.833,0.3833
"336","21","027",93,109.6547,31.8902,0.342905376344086
"337","21","037",9,13.5,1.9,0.211111111111111
"338","21","040",17,15.045,4.123,0.242529411764706
"339","21","044",124,612.8486,1177.3306,9.49460161290323
"340","21","046",29,43.25,29.435,1.015
"341","21","053",34,71.55,81.0043,2.38247941176471
"342","21","063",13,9.6993,16.9698,1.30536923076923
"343","21","065",117,120.9399,88.1673,0.753566666666667
"344","21","082",13,21.5,3.3,0.253846153846154
"345","21","083",33,41.4778,40.083,1.21463636363636
"346","21","094",9,33.31,15.3425,1.70472222222222
"347","21","096",31,82.2049,75.1178,2.42315483870968
"348","21","097",3,1.6107,0.56,0.186666666666667
"349","21","099",9,11.3342,7.6632,0.851466666666667
"350","21","103",3,8.5,7.05,2.35
"351","21","104",29,48.0632,76.3839,2.6339275862069
"352","21","105",13,22.9725,43.3361,3.33354615384615
"353","21","108",14,20.3074,13.9176,0.994114285714286
"354","21","110",7,16.25,11.2,1.6
"355","21","115",32,29.0243,12.8621,0.401940625
"356","21","120",3,0.9,0.15,0.05
"357","21","128",12,20.1981,22.7962,1.89968333333333
"358","21","130",55,69.6707,83.6001,1.52000181818182
"359","21","134",14,16.6942,30.9996,2.21425714285714
"360","21","142",30,62.0501,75.6858,2.52286
"361","21","143",12,6.3473,11.771,0.980916666666667
"362","21","149",21,23.8,27.98,1.33238095238095
"363","21","151",4,4.95,8,2
"364","21","152",22,55.32,99.8,4.53636363636364
"365","21","153",17,33.44,4.69,0.275882352941176
"366","21","154",8,12.69,8.55,1.06875
"367","21","156",6,8.03,0.505,0.0841666666666667
"368","21","161",29,35.0341,8.744,0.30151724137931
"369","21","164",6,6.7353,13.5164,2.25273333333333
"370","21","169",14,13.55,2.2,0.157142857142857
"371","21","170",33,182.1671,145.5148,4.40953939393939
"372","21","172",53,19.3888,12.6703,0.239062264150943
"373","21","177",32,50.8,10.305,0.32203125
"374","21","179",9,28.65,43.5716,4.84128888888889
"375","21","180",209,608.3919,1402.9874,6.71285837320574
"376","21","186",6,11.37,18.02,3.00333333333333
"377","21","188",8,3.505,3.257,0.407125
"378","21","189",3,4,5.1,1.7
"379","21","193",17,36.57,3.5,0.205882352941176
"380","21","195",7,5,0.57,0.0814285714285714
"381","21","200",5,1.05,0.402,0.0804
"382","21","203",11,17.7932,25.4866,2.31696363636364
"383","21","207",16,6.6388,0.39,0.024375
"384","21","208",5,11,5.4,1.08
"385","21","209",269,255.271,227.4138,0.845404460966543
"386","21","212",108,92.6623,38.7959,0.359221296296296
"387","21","217",15,12.2268,4.495,0.299666666666667
"388","22","001",28,34.71,60.104,2.14657142857143
"389","22","004",6,6.33,1,0.166666666666667
"390","22","006",9,38.25,88,9.77777777777778
"391","22","016",23,83.6102,75.78,3.29478260869565
